hour,day,lon_bin,lat_bin,congestion
0,0,23,88,5
0,0,24,88,10
0,0,25,87,2
0,0,25,88,2
0,0,26,78,5
0,0,26,79,17
0,0,26,84,1
0,0,26,85,6
0,0,26,86,4
0,0,26,87,9
0,0,27,54,6
0,0,27,78,4
0,0,27,79,39
0,0,27,82,1
0,0,27,83,5
0,0,27,84,8
0,0,27,85,3
0,0,27,86,4
0,0,28,54,10
0,0,28,79,26
0,0,28,80,11
0,0,28,81,8
0,0,28,82,7
0,0,28,83,3
0,0,29,54,3
0,0,29,78,12
0,0,29,79,3
0,0,29,80,10
0,0,29,81,10
0,0,29,82,5
0,0,30,54,4
0,0,30,73,18
0,0,30,74,91
0,0,30,75,10
0,0,30,77,21
0,0,30,78,34
0,0,30,82,3
0,0,31,54,4
0,0,31,73,268
0,0,31,74,124
0,0,31,75,51
0,0,31,76,39
0,0,31,77,20
0,0,31,78,5
0,0,31,79,19
0,0,31,82,2
0,0,32,54,5
0,0,32,72,2093
0,0,32,73,1453
0,0,32,74,293
0,0,32,75,25
0,0,32,76,6
0,0,32,78,1
0,0,32,79,7
0,0,32,82,3
0,0,33,54,5
0,0,33,55,17
0,0,33,56,3
0,0,33,72,4246
0,0,33,73,803
0,0,33,74,547
0,0,33,75,34
0,0,33,79,9
0,0,33,82,2
0,0,34,56,15
0,0,34,57,16
0,0,34,69,1
0,0,34,70,77
0,0,34,71,188
0,0,34,72,6834
0,0,34,73,916
0,0,34,74,571
0,0,34,75,27
0,0,34,79,14
0,0,34,82,3
0,0,35,56,6
0,0,35,57,3
0,0,35,67,70
0,0,35,68,98
0,0,35,69,104
0,0,35,70,77
0,0,35,71,641
0,0,35,72,13467
0,0,35,73,1104
0,0,35,74,96
0,0,35,75,63
0,0,35,82,3
0,0,36,56,1
0,0,36,57,9
0,0,36,67,41
0,0,36,68,98
0,0,36,69,58
0,0,36,70,500
0,0,36,71,2428
0,0,36,72,15175
0,0,36,73,1453
0,0,36,74,289
0,0,36,75,6
0,0,36,82,5
0,0,36,83,7
0,0,37,57,8
0,0,37,65,23
0,0,37,67,57
0,0,37,68,51
0,0,37,69,13
0,0,37,70,78
0,0,37,71,8113
0,0,37,72,17098
0,0,37,73,1506
0,0,37,74,370
0,0,37,75,73
0,0,37,82,13
0,0,37,83,9
0,0,38,57,6
0,0,38,58,5
0,0,38,64,6
0,0,38,65,35
0,0,38,66,41
0,0,38,67,10
0,0,38,69,4
0,0,38,70,261
0,0,38,71,11494
0,0,38,72,28572
0,0,38,73,2800
0,0,38,74,133
0,0,38,75,41
0,0,38,76,18
0,0,38,82,3
0,0,39,57,6
0,0,39,58,6
0,0,39,64,7
0,0,39,67,3
0,0,39,68,2
0,0,39,70,124
0,0,39,71,2526
0,0,39,72,17393
0,0,39,73,2416
0,0,39,74,188
0,0,39,75,4
0,0,39,76,18
0,0,40,58,7
0,0,40,63,8
0,0,40,64,7
0,0,40,65,3
0,0,40,66,6
0,0,40,67,6
0,0,40,68,13
0,0,40,69,38
0,0,40,70,42
0,0,40,71,1932
0,0,40,72,6498
0,0,40,73,1672
0,0,40,74,48
0,0,40,75,6
0,0,40,76,43
0,0,40,77,6
0,0,41,58,9
0,0,41,60,1
0,0,41,61,10
0,0,41,62,13
0,0,41,63,15
0,0,41,64,8
0,0,41,65,4
0,0,41,66,2
0,0,41,67,3
0,0,41,69,33
0,0,41,70,44
0,0,41,71,752
0,0,41,72,1670
0,0,41,73,879
0,0,41,74,123
0,0,41,75,13
0,0,41,76,2
0,0,41,77,26
0,0,42,58,7
0,0,42,59,1
0,0,42,60,9
0,0,42,61,7
0,0,42,62,11
0,0,42,68,3
0,0,42,69,9
0,0,42,70,8
0,0,42,71,172
0,0,42,72,511
0,0,42,73,301
0,0,42,74,262
0,0,42,76,5
0,0,42,77,13
0,0,43,58,6
0,0,43,59,7
0,0,43,60,5
0,0,43,67,2
0,0,43,68,6
0,0,43,69,15
0,0,43,70,75
0,0,43,71,142
0,0,43,72,315
0,0,43,73,136
0,0,43,74,89
0,0,43,75,19
0,0,43,76,8
0,0,43,77,11
0,0,43,78,11
0,0,43,79,43
0,0,44,58,6
0,0,44,59,7
0,0,44,60,1
0,0,44,68,4
